id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Crown the Moment,Verse Capital,hip-hop,uplifting,0.78,95,0.80,0.85,0.08
12,Velvet Hours,Sable June,r&b,romantic,0.51,88,0.76,0.67,0.44
13,Still Water Sonata,Aria Voss,classical,peaceful,0.22,68,0.62,0.28,0.97
14,Dirt Road Gold,The Hazel Band,country,nostalgic,0.48,104,0.73,0.58,0.82
15,Pulse Override,Circuit Frenzy,edm,energetic,0.95,140,0.66,0.94,0.03
16,Harbour Breeze,Kofi Andan,reggae,laid-back,0.44,82,0.79,0.65,0.61
17,Iron Cathedral,Wrathform,metal,angry,0.96,160,0.22,0.52,0.06
18,Wooden Maps,Elara Vane,folk,melancholic,0.31,74,0.38,0.43,0.91
